,buy_time,comment_time,days,color,size,content,score,sentiment
0,2021-12-09 00:00:05,2021-12-15 08:05:17,6,14英寸,【7nm】2021 E14|R7|16G|512GSSD,小红帽设计颜值高，大小也刚刚合适，用来办公的，体验感非常好，爱了爱了！,5,1
1,2021-12-09 10:27:36,2021-12-14 22:36:58,5,14英寸,【7nm】2021 E14|R5|16G|512GSSD,外形外观：金属外壳，质感很好运行速度：办公完全足够轻薄程度：重量适中，携带方便总结：很喜欢！！！,5,1
2,2021-12-11 23:53:29,2021-12-14 22:33:23,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,新电脑，速度给力，新系统需要适应,5,1
3,2021-12-12 09:26:45,2021-12-14 20:47:13,2,14英寸,【7nm】2021 E14|R7|16G|512GSSD,thinkpad小红帽经典款式，键盘非常好，打字轻松，电脑厚薄适中，轻便携带，长时间用散热好，是一款性价比非常高的商务本，质量坚如磐石。,5,1
4,2021-12-02 15:49:16,2021-12-14 19:56:03,12,14英寸,【7nm】2021 E14|R5|16G|512GSSD,外观整洁颜色看起来好舒服，非常适合办公，硬件性能参数非常高，平时办公速度非常得快。,5,1
5,2021-12-12 21:22:37,2021-12-14 19:47:53,2,14英寸,【7nm】2021 E14|R5|16G|512GSSD,6年前选择了E系列，这次双12毫不犹豫又买了台E14，算是铁粉了。一如既往的好！京东物流也没得说，第二天即到。一切都那么完美。,5,1
6,2021-11-27 23:53:35,2021-12-14 19:40:57,17,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑好好用，都不记得第几次回购了。,5,1
7,2021-12-12 13:08:37,2021-12-14 19:36:22,2,14英寸,【7nm】2021 E14|R7|16G|512GSSD,第二台Thinkpad，虽然市面上也有很多牌子的笔记本电脑，但是当想换一台新机的时候，还是毫不犹豫的选择Thinkpad，对小红点的执着，希望一如既往的好用.,5,1
8,2021-10-16 23:17:34,2021-12-14 18:58:23,59,15.6英寸,【7nm】2021 E15|R5|16G|512GSSD,轻薄携带方便，运行速度非常棒，办公打游戏都没有问题的，大屏幕很好，看久眼睛不疲劳，散热性能很好，长时间用也不会发烫，性价比高，值得购买。,5,1
9,2021-12-11 20:15:27,2021-12-14 18:54:53,3,14英寸,【7nm】2021 E14|R5|16G|512GSSD,外观简单大方，按照提示一步步安装即可，很方便。带office，可以满足日常办公使用。开机速度快，总而言之就是性价比很高的本本。,5,1
10,2021-12-12 07:39:18,2021-12-14 18:52:14,2,14英寸,【7nm】2021 E14|R5|16G|512GSSD,电脑到的非常快，当天预约，本来是第二天发货的，没想到当天就发货了，很是惊喜！给京东快递点赞。收到第一就爱了，大小合适，比我的e480还要精致一点，运行速度也快不少，期待使用效果，希望不会让我失望。一直都比较喜欢和使用IBM的笔记本电脑。,5,1
