,buy_time,comment_time,days,color,size,content,score,sentiment
0,2021-11-05 00:06:02,2021-12-13 23:13:49,38,金色,M1 8G 256G 标配,首先电脑很薄，轻巧，屏幕可以任意角度地立起来，很实用，画面很清晰，所以看起来对清晰度有点影响，声音音质很好，待机时间较长，具体我没计算，跟屏幕亮度有关，操作起来刚开始不太适应，但用习惯了就会觉得这个操作系统也是很nice的，完美小苹果、轻巧方便、每天办公携带非常方便、手感非常好、运行流畅、好像不需要散热&hellip;使用起来没声音,5,1
1,2021-12-03 11:05:44,2021-12-12 20:43:58,9,金色,M1 8G 256G 标配,目前使用没有问题,5,1
2,2021-11-05 00:36:35,2021-12-12 17:02:04,37,金色,M1 8G 256G 标配,满意,5,1
3,2021-12-09 23:13:50,2021-12-12 01:00:42,3,银色,M1 8G 256G 标配,很不错，机器非常好。开机用起来溜得飞起，没有风扇就是安静。,5,1
4,2021-11-10 20:16:40,2021-12-11 14:36:51,31,金色,M1 8G 256G 标配,很好很满意,5,1
5,2021-11-05 00:30:38,2021-12-11 12:49:58,36,金色,M1 8G 256G 标配,挺满意的，价格实惠，活动特价抢购到的，有需要还来,5,1
6,2021-11-10 20:46:24,2021-12-11 12:48:55,31,金色,M1 8G 256G 标配,挺满意的，价格实惠，活动特价抢购到的，有需要还来,5,1
7,2021-11-05 00:38:49,2021-12-11 00:56:13,36,金色,M1 8G 256G 标配,买来送给朋友的朋友非常喜欢。,5,1
8,2021-11-05 16:09:19,2021-12-10 11:20:48,35,金色,M1 8G 256G 标配,用了一段时间，运行不错，蛮好的,5,1
9,2021-11-10 20:16:34,2021-12-10 10:17:17,30,金色,M1 8G 256G 标配,很便宜，很优惠，推荐,5,1
10,2021-11-09 12:07:42,2021-12-10 06:37:09,31,金色,M1 8G 256G 标配,运行速度快，屏幕清晰，散热性能好，外观精致，轻薄度刚刚好，正品，活动买的，性价比高,5,1
11,2021-11-05 00:04:00,2021-12-09 14:59:44,34,金色,M1 8G 256G 标配,运行速度快，画面清晰，音质效果很棒，很喜欢,5,1
12,2021-11-05 00:15:28,2021-12-09 13:58:44,34,金色,M1 8G 256G 标配,笔记本是正品，非常实惠，心心念念终于买回来了。,5,1
13,2021-11-10 20:17:28,2021-12-08 15:52:47,28,金色,M1 8G 256G 标配,外形外观：外观简约漂亮，大气十足,5,1
14,2021-11-09 12:09:18,2021-12-07 16:07:53,28,金色,M1 8G 256G 标配,京东买东西就是有保障。,5,1
15,2021-11-10 20:15:54,2021-12-07 09:53:19,27,金色,M1 8G 256G 标配,好评，值得购买,5,1
